Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-99;HII;20:00:51.03;+33:29:34.2;;5;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 99; Sh 2-99; S99";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-100;HII;20:01:51.17;+33:30:41.8;;4;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 100; Sh 2-100; S100";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-101;HII;19:59:57.52;+35:17:27.7;;20;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 101; Sh 2-101; S101";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-102;HII;20:31:47.07;+30:36:18.5;;40;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 102; Sh 2-102; S102";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-103;HII;20:50:32.47;+30:55:24.4;;210;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 103; Sh 2-103; S103";;"form: irregular; struct: filamentary; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-104;HII;20:17:45.14;+36:44:40.1;;7;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 104; Sh 2-104; S104";;"form: circular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-105;HII;20:12:02.78;+38:20:58.7;;18;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 105; Sh 2-105; S105";;"form: elliptical; struct: filamentary; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-106;HII;20:27:27.67;+37:23:49.4;;3;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 106; Sh 2-106; S106";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-107;HII;20:42:46.82;+36:20:34.1;;5;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 107; Sh 2-107; S107";;"form: elliptical; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-108;HII;20:22:35.48;+40:15:15.5;;180;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 108; Sh 2-108; S108";;"form: irregular; struct: filamentary; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-109;HII;20:33:38.46;+40:20:32.9;;1080;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 109; Sh 2-109; S109";;"form: elliptical; struct: filamentary; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-110;HII;21:20:48.86;+32:27:28.3;;50;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 110; Sh 2-110; S110";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-111;HII;21:41:53.29;+30:06:20.5;;90;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 111; Sh 2-111; S111";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-112;HII;20:33:50.36;+45:39:35.3;;15;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 112; Sh 2-112; S112";;"form: circular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-113;HII;21:20:48.18;+38:05:28.8;;15;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 113; Sh 2-113; S113";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-114;HII;21:21:10.81;+38:42:31.0;;9;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 114; Sh 2-114; S114";;"form: irregular; struct: filamentary; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-115;HII;20:34:34.00;+46:52:40.5;;50;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 115; Sh 2-115; S115";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-116;HII;20:32:19.25;+47:21:25.2;;2;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 116; Sh 2-116; S116";;"form: circular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-117;HII;20:58:46.56;+44:19:18.7;;240;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 117; Sh 2-117; S117";;"form: irregular; struct: filamentary; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-118;HII;21:37:01.13;+40:12:56.6;;480;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 118; Sh 2-118; S118";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-119;HII;21:18:25.79;+43:56:16.1;;160;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 119; Sh 2-119; S119";;"form: elliptical; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-120;HII;21:03:47.11;+49:52:50.6;;1;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 120; Sh 2-120; S120";;"form: circular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-121;HII;21:05:12.70;+49:38:59.2;;1;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 121; Sh 2-121; S121";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-122;HII;23:08:47.29;+14:55:29.8;;40;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 122; Sh 2-122; S122";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-123;HII;21:42:22.79;+44:32:24.2;;13;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 123; Sh 2-123; S123";;"form: elliptical; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-124;HII;21:38:21.71;+50:21:04.7;;70;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 124; Sh 2-124; S124";;"form: circular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-125;HII;21:53:33.18;+47:16:18.2;;9;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 125; Sh 2-125; S125";;"form: elliptical; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-126;HII;22:33:27.51;+38:34:56.0;;160;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 126; Sh 2-126; S126";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-127;HII;21:28:41.91;+54:37:14.7;;2;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 127; Sh 2-127; S127";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-128;HII;21:32:08.82;+55:51:33.3;;1;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 128; Sh 2-128; S128";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-129;HII;21:11:44.92;+59:57:40.7;;140;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 129; Sh 2-129; S129";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-130;HII;20:42:59.65;+63:13:42.5;;3;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 130; Sh 2-130; S130";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-131;HII;21:39:00.32;+57:29:09.1;;170;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 131; Sh 2-131; S131";;"form: circular; struct: intermediate; bright: 2/3; stars: 5";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-132;HII;22:18:47.67;+56:08:05.2;;90;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 132; Sh 2-132; S132";;"form: irregular; struct: filamentary; bright: 2/3; stars: 3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-133;HII;21:28:59.95;+64:18:18.7;;80;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 133; Sh 2-133; S133";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-134;HII;22:11:29.88;+59:24:37.2;;160;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 134; Sh 2-134; S134";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-135;HII;22:22:11.64;+58:44:18.1;;15;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 135; Sh 2-135; S135";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-136;HII;21:16:29.68;+68:15:11.4;;5;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 136; Sh 2-136; S136";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-137;HII;21:57:07.16;+64:41:37.1;;90;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 137; Sh 2-137; S137";;"form: irregular; struct: intermediate; bright: 1/3; stars: 2";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-138;HII;22:32:39.53;+58:28:54.5;;1;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 138; Sh 2-138; S138";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-139;HII;22:35:00.38;+58:13:02.1;;10;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 139; Sh 2-139; S139";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-140;HII;22:19:07.83;+63:17:07.3;;30;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 140; Sh 2-140; S140";;"form: elliptical; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-141;HII;22:28:30.46;+61:38:40.8;;5;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 141; Sh 2-141; S141";;"form: circular; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-142;HII;22:47:35.73;+58:03:39.7;;30;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 142; Sh 2-142; S142";;"form: irregular; struct: filamentary; bright: 3/3; stars: 3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-143;HII;22:50:14.91;+57:42:46.9;;4;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 143; Sh 2-143; S143";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-144;HII;22:44:52.17;+59:53:32.2;;4;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 144; Sh 2-144; S144";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-145;HII;22:25:33.63;+64:18:30.9;;90;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 145; Sh 2-145; S145";;"form: elliptical; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-146;HII;22:49:26.34;+59:55:44.9;;2;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 146; Sh 2-146; S146";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-147;HII;22:55:29.70;+58:28:00.5;;2;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 147; Sh 2-147; S147";;"form: circular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-148;HII;22:56:12.21;+58:31:02.3;;2;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 148; Sh 2-148; S148";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-149;HII;22:56:24.35;+58:32:02.8;;1;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 149; Sh 2-149; S149";;"form: circular; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-150;HII;22:31:11.94;+65:06:50.3;;40;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 150; Sh 2-150; S150";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-151;HII;23:03:03.35;+57:04:18.2;;20;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 151; Sh 2-151; S151";;"form: irregular; struct: amorphous; bright: 1/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-152;HII;22:58:37.78;+58:47:08.1;;2;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 152; Sh 2-152; S152";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-153;HII;22:59:14.45;+58:44:09.6;;5;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 153; Sh 2-153; S153";;"form: circular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-154;HII;22:51:24.62;+61:10:50.2;;60;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 154; Sh 2-154; S154";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-155;HII;22:56:43.78;+62:37:03.8;;60;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 155; Sh 2-155; S155";;"form: irregular; struct: intermediate; bright: 2/3; stars: 9";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-156;HII;23:05:10.55;+60:15:22.9;;2;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 156; Sh 2-156; S156";;"form: circular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-157;HII;23:16:03.56;+60:02:44.0;;90;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 157; Sh 2-157; S157";;"form: irregular; struct: filamentary; bright: 3/3; stars: 5";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-158;HII;23:13:40.31;+61:30:39.8;;10;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 158; Sh 2-158; S158";;"form: elliptical; struct: filamentary; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-159;HII;23:15:43.14;+61:08:43.4;;7;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 159; Sh 2-159; S159";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-160;HII;23:05:47.69;+64:40:24.4;;80;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 160; Sh 2-160; S160";;"form: irregular; struct: intermediate; bright: 1/3; stars: 3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-161;HII;23:15:29.47;+61:51:43.0;;55;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 161; Sh 2-161; S161";;"form: elliptical; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-162;HII;23:20:42.13;+61:11:51.6;;40;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 162; Sh 2-162; S162";;"form: irregular; struct: filamentary; bright: 3/3; stars: 2";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-163;HII;23:33:19.60;+60:47:08.4;;10;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 163; Sh 2-163; S163";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-164;HII;23:38:25.57;+59:58:13.5;;3;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 164; Sh 2-164; S164";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-165;HII;23:39:49.08;+61:56:14.7;;10;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 165; Sh 2-165; S165";;"form: elliptical; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-166;HII;23:42:10.44;+60:58:16.6;;10;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 166; Sh 2-166; S166";;"form: circular; struct: amorphous; bright: 1/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-167;HII;23:35:22.47;+64:51:10.6;;2;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 167; Sh 2-167; S167";;"form: circular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-168;HII;23:53:03.82;+60:28:22.7;;7;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 168; Sh 2-168; S168";;"form: elliptical; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-169;HII;23:53:58.78;+60:22:23.0;;5;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 169; Sh 2-169; S169";;"form: circular; struct: amorphous; bright: 1/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-170;HII;00:01:42.38;+64:37:24.4;;20;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 170; Sh 2-170; S170";;"form: circular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-171;HII;00:04:40.25;+67:09:24.3;;180;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 171; Sh 2-171; S171";;"form: irregular; struct: intermediate; bright: 3/3; stars: 3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-172;HII;00:15:32.93;+61:15:21.2;;1;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 172; Sh 2-172; S172";;"form: elliptical; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-173;HII;00:21:51.89;+61:44:17.4;;30;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 173; Sh 2-173; S173";;"form: circular; struct: intermediate; bright: 2/3; stars: 2";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-174;HII;23:46:49.25;+80:56:19.9;;10;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 174; Sh 2-174; S174";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-175;HII;00:27:19.21;+64:42:12.9;;2;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 175; Sh 2-175; S175";;"form: circular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-176;HII;00:31:39.27;+57:17:08.5;;10;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 176; Sh 2-176; S176";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-177;HII;00:31:33.08;+62:28:08.7;;40;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 177; Sh 2-177; S177";;"form: irregular; struct: amorphous; bright: 1/3; stars: 2";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-178;HII;22:18:56.25;+87:45:41.7;;420;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 178; Sh 2-178; S178";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-179;HII;00:40:25.39;+62:51:57.6;;1;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 179; Sh 2-179; S179";;"form: circular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-180;HII;00:48:46.69;+62:55:44.5;;15;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 180; Sh 2-180; S180";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-181;HII;00:49:16.67;+65:12:43.7;;15;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 181; Sh 2-181; S181";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-182;HII;00:50:16.67;+64:44:42.0;;2;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 182; Sh 2-182; S182";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-183;HII;00:53:59.80;+65:42:35.2;;35;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 183; Sh 2-183; S183";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-184;HII;00:52:50.76;+56:36:37.0;;40;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 184; Sh 2-184; S184";;"form: irregular; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-185;HII;01:00:00.01;+60:59:22.8;;120;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 185; Sh 2-185; S185";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-186;HII;01:08:51.11;+63:08:02.6;;1;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 186; Sh 2-186; S186";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-187;HII;01:23:07.77;+61:51:23.9;;10;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 187; Sh 2-187; S187";;"form: irregular; struct: filamentary; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-188;HII;01:30:39.35;+58:22:00.3;;9;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 188; Sh 2-188; S188";;"form: irregular; struct: filamentary; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-189;HII;02:12:08.55;+64:10:18.1;;2;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 189; Sh 2-189; S189";;"form: circular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-190;HII;02:33:23.15;+61:26:32.4;;150;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 190; Sh 2-190; S190";;"form: irregular; struct: filamentary; bright: 3/3; stars: 8";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-191;HII;02:36:39.33;+59:38:14.5;;2;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 191; Sh 2-191; S191";;"form: irregular; struct: amorphous; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-192;HII;02:47:14.18;+61:59:16.6;;1;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 192; Sh 2-192; S192";;"form: elliptical; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-193;HII;02:47:32.54;+62:00:14.9;;2;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 193; Sh 2-193; S193";;"form: elliptical; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-194;HII;02:47:19.92;+61:56:16.1;;2;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 194; Sh 2-194; S194";;"form: elliptical; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-195;HII;02:40:06.04;+59:38:55.8;;3;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 195; Sh 2-195; S195";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-196;HII;02:51:19.21;+62:13:53.3;;4;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 196; Sh 2-196; S196";;"form: circular; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-197;HII;02:41:55.42;+59:38:45.7;;5;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 197; Sh 2-197; S197";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-198;HII;02:50:01.82;+59:41:60.0;;9;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 198; Sh 2-198; S198";;"form: elliptical; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-199;HII;02:54:33.57;+60:24:33.8;;120;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 199; Sh 2-199; S199";;"form: irregular; struct: intermediate; bright: 3/3; stars: 9";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-200;HII;03:10:45.07;+62:48:55.8;;6;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 200; Sh 2-200; S200";;"form: elliptical; struct: intermediate; bright: 1/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-201;HII;03:03:10.37;+60:28:42.0;;5;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 201; Sh 2-201; S201";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
