Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-23;HII;16:13:24.62;-08:22:20.2;;50;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 23; Sh 2-23; S23";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-24;HII;16:11:03.80;-07:04:38.2;;30;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 24; Sh 2-24; S24";;"form: elliptical; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-25;HII;18:05:26.03;-24:23:39.3;;90;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 25; Sh 2-25; S25";;"form: irregular; struct: filamentary; bright: 3/3; stars: 14";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-26;HII;17:58:59.03;-23:19:35.5;;20;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 26; Sh 2-26; S26";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-27;HII;16:37:12.41;-10:34:11.0;;480;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 27; Sh 2-27; S27";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-28;HII;18:02:41.76;-23:35:03.1;;40;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 28; Sh 2-28; S28";;"form: circular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-29;HII;18:10:30.91;-23:59:54.8;;40;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 29; Sh 2-29; S29";;"form: irregular; struct: intermediate; bright: 2/3; stars: 3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-30;HII;18:03:34.19;-23:00:55.3;;20;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 30; Sh 2-30; S30";;"form: irregular; struct: filamentary; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-31;HII;18:11:18.34;-23:47:47.8;;8;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 31; Sh 2-31; S31";;"form: circular; struct: amorphous; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-32;HII;18:10:53.93;-23:38:51.4;;8;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 32; Sh 2-32; S32";;"form: circular; struct: intermediate; bright: 2/3; stars: 2";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
